elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,segment_type,target_pct,segment_coulomb_mah,stop_reason
1593.13,1703533,3417.59375,3479.327880859375,3484.526123046875,3485.34326171875,3482.082275390625,3485.955078125,3516.720703125,3417.61474609375,3479.3916015625,3484.47021484375,3485.36962890625,3482.035888671875,3485.9873046875,3516.74853515625,24351.615234375,24351.564453125,-9.193582534790039,-8.756025314331055,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.18,1703583,3417.630126953125,3479.316162109375,3484.469970703125,3485.362060546875,3481.970703125,3485.96923828125,3516.962158203125,3417.621337890625,3479.364013671875,3484.464599609375,3485.3486328125,3481.99853515625,3485.905029296875,3516.84033203125,24351.541015625,24351.548828125,-8.69737434387207,-8.760775566101074,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.23,1703635,3417.559814453125,3479.386962890625,3484.47705078125,3485.388427734375,3482.0244140625,3485.8955078125,3516.791748046875,3417.593017578125,3479.388427734375,3484.463134765625,3485.390625,3482.00341796875,3485.864013671875,3516.833984375,24351.576171875,24351.55078125,-8.764429092407227,-8.67785358428955,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.29,1703685,3417.60986328125,3479.354248046875,3484.656982421875,3485.419189453125,3482.0234375,3485.84521484375,3516.777099609375,3417.61474609375,3479.349853515625,3484.532958984375,3485.37939453125,3482.001953125,3485.8603515625,3516.77197265625,24351.501953125,24351.505859375,-8.666082382202148,-8.646398544311523,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.34,1703737,3417.607666015625,3479.336181640625,3484.52734375,3485.336669921875,3481.970703125,3485.865478515625,3516.74462890625,3417.573974609375,3479.36181640625,3484.493896484375,3485.317626953125,3481.98388671875,3485.876953125,3516.804443359375,24351.412109375,24351.439453125,-8.621377944946289,-8.56531810760498,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.39,1703787,3417.57177734375,3479.241943359375,3484.5478515625,3485.33984375,3481.85498046875,3485.742919921875,3516.89111328125,3417.594482421875,3479.343994140625,3484.49853515625,3485.3134765625,3481.980712890625,3485.78466796875,3516.803466796875,24351.3203125,24351.337890625,-8.433624267578125,-8.472878456115723,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.44,1703838,3417.5546875,3479.419189453125,3484.532470703125,3485.37744140625,3481.993408203125,3485.6015625,3517.0302734375,3417.547607421875,3479.387451171875,3484.46923828125,3485.337646484375,3482.0,3485.696533203125,3516.91064453125,24351.390625,24351.3359375,-8.531970977783203,-8.873781204223633,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.49,1703889,3417.60693359375,3479.446533203125,3484.4375,3485.33447265625,3482.071044921875,3485.61962890625,3517.11181640625,3417.573974609375,3479.405029296875,3484.4638671875,3485.360595703125,3481.98876953125,3485.661376953125,3516.9912109375,24351.46484375,24351.419921875,-8.773370742797852,-8.60632038116455,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.54,1703939,3417.6025390625,3479.410400390625,3484.384521484375,3485.42041015625,3481.97509765625,3485.873291015625,3516.943115234375,3417.585205078125,3479.36865234375,3484.432861328125,3485.372802734375,3481.962890625,3485.7607421875,3516.927734375,24351.412109375,24351.443359375,-8.214576721191406,-8.605077743530273,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.59,1703990,3417.568603515625,3479.319091796875,3484.469970703125,3485.35400390625,3481.993408203125,3485.71240234375,3516.993896484375,3417.57177734375,3479.360595703125,3484.458251953125,3485.376708984375,3482.000732421875,3485.802734375,3516.874267578125,24351.4765625,24351.4375,-8.39786148071289,-8.555370330810547,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.64,1704041,3417.62060546875,3479.30029296875,3484.45654296875,3485.302490234375,3482.099853515625,3485.7998046875,3516.881591796875,3417.565673828125,3479.354248046875,3484.48046875,3485.36572265625,3482.032958984375,3485.843505859375,3516.84716796875,24351.515625,24351.482421875,-8.643730163574219,-8.62863540649414,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.69,1704092,3417.506591796875,3479.479248046875,3484.498046875,3485.320068359375,3482.017333984375,3485.7685546875,3517.005126953125,3417.59375,3479.415771484375,3484.454833984375,3485.347900390625,3482.01904296875,3485.873779296875,3516.857421875,24351.5625,24351.513671875,-8.44703483581543,-8.519445419311523,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.74,1704143,3417.612060546875,3479.306640625,3484.50732421875,3485.385009765625,3481.97998046875,3485.85400390625,3516.767578125,3417.56591796875,3479.40576171875,3484.419921875,3485.363525390625,3482.0,3485.88720703125,3516.77685546875,24351.41796875,24351.453125,-9.001358032226562,-8.60356330871582,30.165740966796875,0,False,OFF,0,REST,8,0.000,
1593.79,1704194,3417.59375,3479.396728515625,3484.4990234375,3485.434814453125,3481.95849609375,3485.85791015625,3516.52587890625,3417.549072265625,3479.377685546875,3484.453369140625,3485.381103515625,3481.994873046875,3485.809326171875,3516.703857421875,24351.2890625,24351.31640625,-8.245868682861328,-8.608711242675781,30.165740966796875,0,False,OFF,0,REST,8,0.000,
